Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  17
2     0   0   0   0   0   0   0   0  25
3     0   0   0   0   0   0   0   0  55
4     0   0   0   0   0   0   0   0  63
5     0   0   0   0   0   0   0   0  56
6     0   0   0   0   0   0   0   0 180
7     0   0   0   0   0   0   0   0 180
8     0   0   0   0   0   0   0   0 180
9     0   0   0   0   0   0   0   0 180
10    0   0   0   0   0   0   0   0 180
11    0   0   0   0   0   0 180   0 180
12    0   0   0   0   0   0 180   0 180
13    0   0   0   0   0   0 180   0 180
14    0   0   0   0   0   0 180   0 180
15    0   0   0   0   0   0 180   0   0
16    0   0   0   0   0   0 180   0   0
17    0   0 180   0   0   0 180   0   0
18    0   0 180   0   0   0 180   0   0
19    0   0 180   0   0   0 180   0   0
20    0   0 180   0   0   0 180   0   0
21    0   0 180   0   0   0 116   0   0
22    0   0 180   0 180 180 180   0   0
23  180   0 180   0 156 159 180   0   0
24  180   0 180   0 180 146 180   0   0
25  180   0 180   0 180 180  49   0   0
26  180   0 180   0 180  98 112   0   0
27  180   0 180   0 180 180 180   0 180
28  180   0 180  46 180 180 180   0 180
29  180   0 180  31 180 180 180   0 180
