Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   9
2     0   0   0   0   0   0   0   0  15
3     0   0   0   0   0   0   0   0   7
4     0   0   0   0   0   0   0   0  11
5     0   0   0   0   0   0   0   0   4
6     0   0   0   0   0   1   0   0   1
7     0   0   0   0   0   0   0   0   1
8     0   0   0   0   0   0   0   0   1
9     0   0   0   0   0   0   0   0   2
10    0   0   0   0   0   0   0   0   3
11    0   0   0   0   0   3   0   0   3
12    0   0   0   0   0   7   0   0   0
13    0   0   0   0   0   1   0   0   0
14    0   0   0   0   0   3   0   0   0
15    0   0   0   0   0   1   0   0   0
16    0   0   0   0   0   1   0   0   0
17    0   0   2   0   0   2   0   0   0
18    0   0   3   0   0   3   0   0   0
19    0   0   2   0   0   0   0   0   0
20    0   0   3   0   0   0   0   0   0
21    0   0   6   0   0   0   0   0   0
22    0   0  10   0   0   0   0   0   0
23    8   0   8   0   0   0   0   0   0
24    8   0  12   0   0   0   0   0   0
25    8   0   9   0   0   0   0   0   0
26    8   0  10   0   0   0   0   0   0
27    8   0   6   0   0   0   0   0   0
28    6   0   6   0   0   0   0   0   0
29    6   0   9   0   0   0   0   0   0
