Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  10
2     0   0   0   0   0   0   0   0  23
3     0   0   0   0   0   0   0   0  34
4     0   0   0   0   0   0   0   0  97
5     0   0   0   0   0   0   0   0 180
6     0   0   0   0   0   0 180   0 180
7     0   0   0   0   0   0 180   0 180
8     0   0   0   0   0   0 180   0 180
9     0   0   0   0   0   0 180   0 180
10    0   0   0   0   0   0  85   0 180
11    0   0   0   0   0   0 180   0 180
12    0   0 180   0   0   0 180   0 180
13    0   0 180   0   0   0 180   0 180
14    0   0 180   0   0   0 180   0 180
15    0   0 180   0   0   0 180   0 180
16    0   0 180   0   0   0 180   0 180
17    0   0 180   0   0 180 180   0   0
18  180   0 180   0   0 180 180   0   0
19  180   0 180   0   0  69 180   0   0
20  180   0 180   0   0 120 180   0   0
21  180   0 180   0   0 180   0   0   0
22  180   0 180   0 180 180 180   0 180
23  180   0 180   0 180 180 172   0 180
24  180   0 180   0 180 180 132   0 180
25  180   0 180   0 180 180 129   0 180
26  180   0 180   0 180 171 180   0 180
27  180   0 180   0 116 180 180   0 180
28  180   0 153 180 180 180 180   0 180
29  180   0 180 180 180  58 180   0 180
